Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Precious Achiuwa,22.1,TOR,Big,1693,11,60.0%,22,9.1%,17,1.0%,42,22.4%
Steven Adams,28.3,MEM,Big,1997,8,54.3%,87,18.8%,71,2.1%,63,27.7%
Bam Adebayo,24.3,MIA,Big,1822,60,75.2%,91,20.4%,87,3.1%,64,27.7%
Santi Aldama,20.8,MEM,Big,243,0,62.5%,21,9.0%,28,1.2%,51,25.0%
LaMarcus Aldridge,36.3,BKN,Big,1047,98,87.3%,36,11.4%,42,1.3%,92,39.3%
Nickeil Alexander-Walker,23.2,UTA,Wing,112,0,90.0%,89,13.2%,86,1.6%,88,40.0%
Nickeil Alexander-Walker,23.2,NOP,Combo,1298,15,72.2%,43,6.4%,31,1.1%,14,11.9%
Grayson Allen,26.1,MIL,Wing,1786,81,86.5%,28,5.1%,25,0.7%,38,20.0%
Jarrett Allen,23.5,CLE,Big,1802,40,70.8%,85,18.0%,80,2.6%,66,28.6%
Jose Alvarado,23.6,NOP,Point,731,8,68.2%,40,6.9%,12,0.7%,34,21.1%
Justin Anderson,28.0,IND,Forward,260,0,80.0%,64,10.1%,9,0.3%,96,55.6%
Kyle Anderson,28.1,MEM,Forward,1458,10,63.1%,54,9.2%,40,0.8%,69,28.9%
Giannis Antetokounmpo,26.9,MIL,Big,2189,45,72.0%,98,24.2%,99,4.2%,46,23.6%
Thanasis Antetokounmpo,29.3,MIL,Big,359,14,60.7%,30,10.1%,16,1.0%,0,0.0%
Carmelo Anthony,37.4,LAL,Big,1784,89,83.0%,15,7.9%,44,1.4%,38,21.7%
Cole Anthony,21.5,ORL,Point,2044,69,85.2%,70,9.5%,74,2.3%,46,22.8%
OG Anunoby,24.3,TOR,Wing,1722,27,74.6%,41,6.2%,81,1.5%,38,20.0%
Trevor Ariza,36.3,LAL,Forward,453,0,55.6%,28,6.0%,47,0.9%,89,50.0%
D.J. Augustin,34.0,LAL,Combo,357,0,100.0%,8,2.4%,2,0.4%,92,50.0%
D.J. Augustin,34.0,HOU,Point,507,72,86.8%,34,6.3%,44,1.5%,42,22.2%
Deni Avdija,20.8,WAS,Forward,1910,39,74.8%,47,8.6%,66,1.3%,23,19.6%
Deandre Ayton,23.3,PHX,Big,1708,58,74.6%,24,9.5%,33,1.2%,49,23.9%
Udoka Azubuike,22.1,UTA,Big,155,0,40.0%,38,11.4%,12,0.9%,99,75.0%
Marvin Bagley,22.6,DET,Big,488,10,59.3%,58,14.1%,64,1.9%,82,32.3%
Marvin Bagley,22.6,SAC,Big,650,59,75.0%,20,8.9%,34,1.2%,87,34.8%
LaMelo Ball,20.2,CHA,Point,2403,81,87.2%,44,7.0%,76,2.3%,64,25.3%
Lonzo Ball,24.0,CHI,Point,1204,22,75.0%,14,3.4%,20,0.8%,94,38.5%
Mohamed Bamba,23.5,ORL,Big,1795,70,77.5%,7,5.3%,14,0.9%,25,17.6%
Desmond Bane,23.4,MEM,Wing,2262,96,90.3%,22,4.7%,62,1.1%,79,30.2%
Dalano Banton,22.0,TOR,Combo,626,1,55.0%,78,10.1%,43,1.2%,44,21.1%
Harrison Barnes,29.4,SAC,Forward,2581,61,82.7%,97,19.2%,88,1.8%,55,26.9%
Scottie Barnes,20.3,TOR,Forward,2603,35,73.8%,72,10.7%,84,1.6%,65,28.0%
RJ Barrett,21.4,NYK,Wing,2407,18,71.4%,94,14.7%,72,1.3%,42,20.3%
Will Barton,30.8,DEN,Wing,2272,43,79.8%,42,6.2%,66,1.2%,31,19.0%
Charles Bassey,21.0,PHI,Big,124,0,70.0%,84,17.6%,47,1.5%,21,16.7%
Keita Bates-Diop,25.8,SAS,Big,911,65,75.9%,41,11.8%,8,0.7%,69,29.0%
Nicolas Batum,32.9,LAC,Forward,1457,13,66.7%,16,4.3%,14,0.5%,44,23.5%
Kent Bazemore,32.3,LAL,Wing,487,0,75.0%,39,5.8%,43,0.9%,11,14.3%
Darius Bazley,21.4,OKC,Forward,1931,19,68.5%,87,13.0%,29,0.7%,32,20.4%
Bradley Beal,28.3,WAS,Combo,1438,51,82.8%,79,10.1%,75,1.8%,32,18.8%
Malik Beasley,24.9,MIN,Wing,1959,71,84.5%,7,1.8%,3,0.4%,38,20.0%
DeAndre' Bembry,27.3,BKN,Wing,894,3,60.0%,53,7.8%,19,0.6%,24,17.6%
Davis Bertans,29.0,WAS,Forward,489,100,93.3%,11,3.6%,81,1.5%,14,16.7%
Davis Bertans,29.0,DAL,Forward,285,0,80.0%,6,3.1%,62,1.1%,79,33.3%
Patrick Beverley,33.3,MIN,Combo,1473,13,71.8%,71,9.4%,79,1.9%,40,20.5%
Saddiq Bey,22.6,DET,Forward,2684,63,83.1%,59,9.6%,53,1.0%,43,22.6%
Khem Birch,29.1,TOR,Big,988,58,74.6%,67,15.1%,26,1.1%,58,26.5%
Goga Bitadze,22.3,IND,Big,678,28,67.8%,81,17.0%,66,2.1%,84,33.3%
Bismack Biyombo,29.2,PHX,Big,440,9,55.6%,88,19.7%,84,2.9%,81,32.1%
Nemanja Bjelica,33.5,GSW,Big,1093,50,72.8%,25,9.6%,50,1.5%,35,20.6%
Eric Bledsoe,31.9,LAC,Point,1358,25,75.7%,82,12.2%,66,2.0%,92,37.7%
Keljin Blevins,25.9,POR,Combo,258,0,60.0%,3,1.2%,0,0.2%,0,0.0%
Bogdan Bogdanovic,29.2,ATL,Wing,1835,66,84.1%,28,5.1%,80,1.4%,20,16.7%
Bojan Bogdanovic,32.5,UTA,Forward,2121,79,85.3%,53,9.2%,77,1.5%,33,20.7%
Leandro Bolmaro,21.1,MIN,Wing,165,0,80.0%,47,6.7%,96,2.6%,0,0.0%
Devin Booker,25.0,PHX,Wing,2343,84,86.8%,62,9.0%,99,3.2%,78,28.7%
Brandon Boston Jr.,19.9,LAC,Forward,669,76,84.6%,37,7.3%,82,1.6%,46,23.8%
Chris Boucher,28.8,TOR,Big,1666,72,77.8%,58,14.1%,51,1.5%,46,23.6%
James Bouknight,21.1,CHA,Combo,234,0,88.0%,80,10.2%,23,0.9%,27,18.2%
Avery Bradley,30.9,LAL,Wing,1384,0,88.9%,6,1.7%,7,0.5%,20,16.7%
Tony Bradley,23.8,CHI,Big,492,0,57.1%,31,10.2%,22,1.1%,51,25.0%
Ignas Brazdeikis,22.8,ORL,Forward,439,5,61.5%,39,7.5%,61,1.1%,14,16.7%
Mikal Bridges,25.2,PHX,Wing,2846,59,83.4%,65,9.4%,33,0.8%,83,34.1%
Miles Bridges,23.6,CHA,Forward,2824,56,80.4%,81,12.1%,76,1.5%,45,23.8%
Oshae Brissett,23.4,IND,Big,1508,38,70.5%,62,14.4%,8,0.7%,35,20.5%
Malcolm Brogdon,28.9,IND,Combo,1205,75,85.6%,74,9.7%,96,2.4%,26,17.5%
Armoni Brooks,23.4,HOU,Combo,619,0,82.4%,12,3.1%,4,0.4%,63,28.6%
Armoni Brooks,23.4,TOR,Combo,139,0,100.0%,10,2.8%,25,0.9%,0,0.0%
Dillon Brooks,25.8,MEM,Wing,881,77,84.9%,61,9.0%,91,1.9%,73,28.0%
Bruce Brown,25.2,BKN,Forward,1707,45,76.2%,83,12.4%,44,0.8%,77,31.3%
Charles Brown,24.7,PHI,Wing,135,0,83.3%,80,11.1%,49,0.9%,96,66.7%
Greg Brown,20.2,POR,Big,504,48,72.5%,69,15.2%,27,1.1%,11,12.0%
Jaylen Brown,25.0,BOS,Wing,2220,28,75.6%,83,11.4%,95,2.4%,60,24.5%
Moses Brown,22.1,CLE,Big,163,0,52.0%,85,18.2%,21,1.0%,8,8.3%
Moses Brown,22.1,DAL,Big,134,20,63.3%,98,25.5%,92,3.4%,43,23.1%
Sterling Brown,26.7,DAL,Forward,569,0,91.7%,12,3.6%,12,0.4%,26,20.0%
Troy Brown,22.3,CHI,Forward,955,0,76.2%,19,4.8%,11,0.4%,84,36.4%
Jalen Brunson,25.2,DAL,Combo,2519,59,84.0%,57,7.9%,97,2.5%,72,31.3%
Thomas Bryant,24.3,WAS,Big,416,99,87.5%,48,12.8%,67,2.1%,37,21.1%
Reggie Bullock,30.6,DAL,Forward,1893,65,83.3%,5,2.2%,2,0.2%,84,36.4%
Trey Burke,29.0,DAL,Combo,351,0,82.4%,14,3.4%,92,2.3%,0,0.0%
Alec Burks,30.3,NYK,Combo,2309,50,82.1%,96,13.7%,85,2.1%,47,21.6%
Jared Butler,21.2,UTA,Combo,266,0,77.8%,16,3.7%,6,0.5%,55,25.0%
Jimmy Butler,32.1,MIA,Forward,1926,87,87.1%,99,20.4%,95,2.5%,20,18.9%
Kentavious Caldwell-Pope,28.7,WAS,Wing,2326,95,89.0%,50,7.1%,68,1.2%,59,24.2%
Facundo Campazzo,30.6,DEN,Point,1098,33,76.6%,46,7.1%,82,2.5%,12,15.0%
Vlatko Cancar,24.6,DEN,Big,163,0,60.0%,34,11.1%,41,1.3%,0,0.0%
Devin Cannady,25.4,ORL,Combo,139,0,71.4%,7,2.4%,9,0.6%,0,0.0%
Clint Capela,27.5,ATL,Big,2041,2,47.3%,49,12.9%,12,0.8%,40,22.1%
Jevon Carter,26.1,MIL,Combo,325,0,100.0%,0,0.0%,8,0.5%,98,
Jevon Carter,26.1,BKN,Combo,472,0,62.5%,4,1.4%,18,0.8%,0,0.0%
Wendell Carter,22.5,ORL,Big,1848,34,69.1%,48,12.7%,68,2.1%,51,25.0%
Alex Caruso,27.7,CHI,Combo,1136,34,79.5%,88,11.0%,47,1.3%,52,23.3%
Willie Cauley-Stein,28.2,DAL,Big,170,0,50.0%,1,2.8%,9,0.8%,0,0.0%
Justin Champagnie,20.3,TOR,Wing,227,0,100.0%,55,8.0%,46,0.9%,61,25.0%
Chris Chiozza,25.9,GSW,Combo,307,0,66.7%,5,1.4%,21,0.9%,96,100.0%
Marquese Chriss,24.3,DAL,Big,278,0,76.2%,12,7.1%,70,2.1%,12,12.5%
Josh Christopher,19.9,HOU,Combo,1195,16,73.1%,69,9.2%,50,1.3%,48,22.0%
Gary Clark,27.0,NOP,Big,314,0,70.0%,6,5.1%,1,0.3%,0,0.0%
Brandon Clarke,25.1,MEM,Big,1188,19,62.9%,44,12.2%,46,1.5%,90,36.4%
Jordan Clarkson,29.4,UTA,Combo,2109,54,82.8%,41,6.3%,67,1.6%,81,34.7%
Nicolas Claxton,22.5,BKN,Big,940,11,59.6%,77,16.5%,58,1.7%,81,31.9%
Amir Coffey,24.4,LAC,Wing,1472,86,87.3%,74,10.3%,38,0.8%,49,22.4%
John Collins,24.1,ATL,Big,1662,80,79.3%,27,9.8%,84,2.8%,51,25.0%
Zach Collins,24.0,SAS,Big,482,77,78.7%,51,13.3%,79,2.4%,27,18.2%
Mike Conley,34.1,UTA,Point,2056,42,79.6%,36,6.4%,64,1.9%,44,22.6%
Pat Connaughton,28.8,MIL,Wing,1655,58,83.3%,19,4.1%,20,0.6%,61,25.0%
Tyler Cook,24.1,CHI,Big,188,20,63.3%,100,27.1%,68,2.1%,6,7.7%
DeMarcus Cousins,31.2,MIL,Big,286,85,81.6%,78,16.7%,96,3.9%,98,57.1%
DeMarcus Cousins,31.2,DEN,Big,424,52,73.3%,76,16.5%,97,3.9%,19,15.8%
Robert Covington,30.9,LAC,Forward,478,74,84.4%,38,7.4%,73,1.4%,4,8.3%
Robert Covington,30.9,POR,Forward,1425,65,83.3%,7,3.2%,37,0.7%,5,9.1%
Torrey Craig,30.9,IND,Forward,1013,48,77.1%,26,5.7%,19,0.5%,74,31.3%
Torrey Craig,30.9,PHX,Forward,521,0,61.5%,18,4.8%,6,0.3%,88,42.9%
Jae Crowder,31.3,PHX,Forward,1884,53,78.9%,31,6.3%,48,0.9%,62,27.8%
Jarrett Culver,22.7,MEM,Combo,201,0,33.3%,46,6.6%,61,1.4%,0,0.0%
Cade Cunningham,20.1,DET,Wing,2082,70,84.3%,37,5.6%,89,1.9%,53,23.3%
Seth Curry,31.2,BKN,Wing,568,0,85.7%,9,1.9%,83,1.5%,92,50.0%
Seth Curry,31.2,PHI,Combo,1564,88,87.5%,17,3.7%,51,1.3%,90,45.0%
Stephen Curry,33.6,GSW,Point,2203,97,92.2%,54,8.0%,70,2.1%,54,24.0%
Anthony Davis,28.6,LAL,Big,1402,41,71.1%,44,12.1%,89,3.2%,65,28.3%
Ed Davis,32.4,CLE,Big,158,0,42.9%,95,22.2%,65,2.0%,0,0.0%
Terence Davis,24.5,SAC,Wing,517,73,84.6%,44,6.3%,45,0.9%,91,41.2%
DeMar DeRozan,32.2,CHI,Forward,2737,90,87.7%,94,16.5%,93,2.1%,52,25.8%
Dewayne Dedmon,32.2,MIA,Big,1057,54,74.0%,46,12.5%,52,1.5%,26,17.9%
Donte DiVincenzo,24.8,MIL,Combo,327,0,84.0%,25,4.5%,75,1.7%,36,20.0%
Donte DiVincenzo,24.8,SAC,Combo,660,57,83.9%,36,6.1%,78,1.9%,11,7.1%
Mamadi Diakite,24.8,OKC,Big,181,0,54.5%,28,10.0%,48,1.5%,29,20.0%
Hamidou Diallo,23.3,DET,Wing,1248,5,65.0%,90,13.5%,72,1.3%,74,28.6%
Gorgui Dieng,31.8,ATL,Big,302,0,78.9%,32,10.2%,42,1.3%,9,11.1%
Spencer Dinwiddie,28.6,WAS,Point,1330,44,81.0%,80,11.7%,68,2.0%,20,19.0%
Spencer Dinwiddie,28.6,DAL,Wing,649,20,72.5%,100,19.7%,36,0.8%,61,25.0%
Luka Doncic,22.7,DAL,Point,2299,17,74.4%,88,13.8%,96,3.6%,68,25.5%
Luguentz Dort,22.5,OKC,Wing,1664,68,84.1%,72,10.1%,84,1.5%,27,17.7%
Ayo Dosunmu,21.8,CHI,Combo,2020,9,66.7%,40,6.3%,10,0.6%,75,33.3%
PJ Dozier,25.0,DEN,Forward,332,0,76.9%,35,6.9%,51,0.9%,10,14.3%
Goran Dragic,35.5,BKN,Combo,396,0,71.4%,34,6.0%,62,1.4%,18,14.3%
Andre Drummond,28.2,BKN,Big,534,6,53.1%,83,17.4%,73,2.2%,91,36.8%
Andre Drummond,28.2,PHI,Big,894,5,50.0%,50,13.1%,74,2.3%,71,29.4%
Chris Duarte,24.4,IND,Wing,1527,54,81.3%,54,7.9%,83,1.5%,36,19.6%
David Duke,22.1,BKN,Wing,295,0,81.3%,50,7.3%,77,1.4%,11,14.3%
Kris Dunn,27.6,POR,Forward,335,0,94.4%,55,9.3%,69,1.3%,86,40.0%
Kevin Durant,33.1,BKN,Forward,2047,98,91.0%,80,11.4%,100,3.9%,31,20.1%
Anthony Edwards,20.2,MIN,Wing,2459,37,78.6%,68,9.5%,70,1.2%,66,25.2%
Kessler Edwards,21.2,BKN,Forward,920,0,82.4%,13,4.0%,15,0.5%,89,50.0%
CJ Elleby,21.4,POR,Wing,1065,8,68.4%,87,12.5%,53,1.0%,46,21.1%
Wayne Ellington,33.9,LAL,Wing,745,0,81.8%,2,0.5%,15,0.5%,0,0.0%
Joel Embiid,27.6,PHI,Big,2295,84,81.4%,96,22.9%,98,4.2%,42,22.9%
Drew Eubanks,24.7,POR,Big,632,83,80.0%,33,10.5%,59,1.7%,12,12.5%
Drew Eubanks,24.7,SAS,Big,557,81,79.3%,72,15.7%,95,3.6%,58,25.9%
Derrick Favors,30.3,OKC,Big,652,0,64.0%,11,6.7%,6,0.7%,6,7.7%
Dorian Finney-Smith,28.5,DAL,Forward,2638,13,66.7%,21,4.9%,21,0.6%,26,20.0%
Malachi Flynn,23.5,TOR,Combo,480,0,65.2%,30,5.4%,73,1.7%,75,33.3%
Bryn Forbes,28.3,SAS,Wing,649,94,88.9%,39,5.7%,61,1.1%,24,17.6%
Bryn Forbes,28.3,DEN,Combo,590,97,92.1%,53,7.3%,1,0.4%,62,27.8%
Trent Forrest,23.4,UTA,Wing,695,33,77.3%,92,13.8%,69,1.2%,72,27.3%
Evan Fournier,29.0,NYK,Wing,2357,14,70.8%,26,4.9%,28,0.7%,74,28.6%
De'Aaron Fox,23.9,SAC,Point,2074,19,74.6%,90,14.3%,48,1.6%,76,28.3%
Tim Frazier,31.0,ORL,Point,199,0,55.6%,62,8.7%,22,0.9%,56,25.0%
Melvin Frazier Jr.,25.2,OKC,Combo,119,0,71.4%,56,7.8%,33,1.1%,55,25.0%
Markelle Fultz,23.4,ORL,Combo,356,43,80.6%,60,8.4%,86,2.1%,91,46.7%
Wenyen Gabriel,24.6,LAL,Forward,291,3,60.6%,93,16.0%,64,1.2%,74,31.3%
Daniel Gafford,23.1,WAS,Big,1427,35,69.3%,78,16.8%,75,2.3%,93,39.5%
Danilo Gallinari,33.2,ATL,Forward,1657,97,90.3%,61,9.8%,96,2.5%,6,9.5%
Darius Garland,21.8,CLE,Point,2424,92,89.1%,32,6.3%,80,2.4%,70,26.0%
Marcus Garrett,23.0,MIA,Combo,121,0,66.7%,77,10.0%,5,0.4%,92,50.0%
Usman Garuba,19.6,HOU,Big,165,0,71.4%,65,14.8%,1,0.3%,51,25.0%
Luka Garza,22.8,DET,Big,332,11,60.0%,64,14.5%,81,2.7%,74,30.0%
Rudy Gay,35.2,UTA,Big,1021,74,77.9%,23,9.3%,10,0.8%,28,18.9%
Paul George,31.5,LAC,Forward,1073,82,85.8%,49,8.8%,99,3.5%,26,20.0%
Taj Gibson,36.4,NYK,Big,939,86,82.0%,45,12.2%,19,1.0%,27,18.2%
Josh Giddey,19.1,OKC,Wing,1693,15,70.9%,30,5.2%,75,1.4%,34,19.4%
Shai Gilgeous-Alexander,23.3,OKC,Point,1941,47,81.0%,90,14.3%,90,3.0%,30,20.8%
Anthony Gill,29.0,WAS,Big,405,68,77.3%,90,20.2%,26,1.1%,24,17.4%
Freddie Gillespie,24.4,ORL,Big,118,0,42.9%,47,12.5%,96,3.8%,84,33.3%
