Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Sviatoslav Mykhailiuk,24.4,TOR,Wing,659,91,88.2%,49,6.8%,6,0.4%,9,13.3%
Abdel Nader,28.1,PHX,Wing,127,0,50.0%,75,10.3%,94,2.3%,0,0.0%
Larry Nance Jr.,28.8,NOP,Big,176,0,100.0%,9,6.1%,19,1.0%,0,0.0%
Larry Nance Jr.,28.8,POR,Big,841,22,64.6%,25,9.6%,45,1.4%,29,20.0%
Aaron Nesmith,22.0,BOS,Wing,440,0,78.6%,40,6.1%,12,0.5%,87,37.5%
Raul Neto,29.5,WAS,Combo,1315,22,76.3%,72,9.4%,83,2.0%,70,31.0%
Georges Niang,28.4,PHI,Big,1683,96,86.5%,2,3.9%,5,0.6%,61,27.3%
Daishen Nix,19.7,HOU,Point,210,0,52.2%,98,19.4%,24,1.0%,4,8.3%
Zeke Nnaji,20.8,DEN,Big,625,14,61.1%,64,14.5%,24,1.1%,9,11.1%
Nerlens Noel,27.6,NYK,Big,554,36,70.0%,70,15.4%,75,2.4%,94,40.0%
Jaylen Nowell,22.3,MIN,Combo,888,32,79.1%,91,11.3%,20,0.9%,80,34.1%
Frank Ntilikina,23.3,DAL,Wing,592,0,95.8%,29,5.2%,63,1.1%,38,20.0%
Jusuf Nurkic,27.2,POR,Big,1574,33,69.0%,86,18.2%,88,3.1%,64,27.8%
David Nwaba,28.8,HOU,Forward,507,32,72.9%,91,13.7%,86,1.7%,9,13.6%
Jordan Nwora,23.1,MIL,Wing,1054,82,86.7%,15,3.4%,29,0.7%,74,28.6%
Royce O'Neale,28.4,UTA,Wing,2399,49,80.4%,20,4.4%,32,0.8%,88,40.0%
Semi Ojeleye,26.9,MIL,Big,268,0,77.8%,5,4.8%,11,0.8%,84,33.3%
Chuma Okeke,23.2,ORL,Forward,1667,71,84.1%,22,5.4%,38,0.8%,13,16.1%
Josh Okogie,23.2,MIN,Forward,452,18,67.5%,98,19.6%,63,1.1%,54,26.3%
Onyeka Okongwu,20.9,ATL,Big,967,44,71.6%,89,20.0%,45,1.4%,78,30.8%
Isaac Okoro,20.8,CLE,Wing,1980,30,76.5%,96,15.5%,22,0.6%,37,19.7%
KZ Okpala,22.5,MIA,Big,200,0,66.7%,18,8.3%,28,1.1%,29,20.0%
Victor Oladipo,29.5,MIA,Combo,163,0,72.2%,61,8.5%,60,1.4%,22,16.7%
Kelly Olynyk,30.5,DET,Big,759,71,77.5%,35,11.1%,94,3.5%,71,29.4%
Cedi Osman,26.6,CLE,Forward,1440,11,65.9%,51,9.1%,70,1.3%,62,27.8%
Kelly Oubre,25.9,CHA,Forward,1931,21,68.9%,57,9.5%,56,1.0%,62,27.8%
Kevin Pangos,28.8,CLE,Combo,121,0,100.0%,0,0.0%,98,2.5%,98,
Jabari Parker,26.6,BOS,Big,102,0,100.0%,8,5.6%,14,0.9%,96,50.0%
Eric Paschall,25.0,UTA,Big,650,56,74.3%,80,16.9%,9,0.8%,74,30.0%
Chris Paul,36.5,PHX,Point,2134,53,83.8%,22,4.5%,94,3.3%,50,23.5%
Cameron Payne,27.2,PHX,Combo,1216,60,84.1%,44,6.5%,29,1.1%,65,28.9%
Elfrid Payton,27.7,PHX,Combo,433,0,39.3%,68,9.2%,11,0.7%,69,30.8%
Gary Payton II,28.9,GSW,Combo,1207,4,59.6%,55,7.4%,13,0.7%,34,19.2%
Reggie Perry,21.6,POR,Big,168,0,53.8%,21,9.1%,11,0.8%,95,42.9%
Jamorko Pickett,23.9,DET,Big,155,0,50.0%,1,2.1%,0,0.0%,0,0.0%
Theo Pinson,26.0,DAL,Wing,118,0,100.0%,61,8.8%,90,1.9%,0,0.0%
Mason Plumlee,31.7,CHA,Big,1787,0,39.4%,95,22.2%,61,1.8%,29,19.8%
Jakob Poeltl,26.0,SAS,Big,1967,4,49.5%,39,11.5%,69,2.1%,59,26.5%
Aleksej Pokusevski,19.8,OKC,Big,1200,30,68.8%,4,4.4%,30,1.2%,15,15.0%
Jordan Poole,22.4,GSW,Combo,2232,99,92.2%,63,8.8%,88,2.2%,58,27.1%
Kevin Porter,21.5,HOU,Point,1905,3,64.2%,74,9.6%,52,1.6%,48,22.9%
Michael Porter,23.3,DEN,Wing,264,0,55.6%,23,4.8%,41,0.8%,95,60.0%
Otto Porter,28.4,GSW,Forward,1373,55,80.3%,30,6.3%,65,1.3%,40,22.2%
Bobby Portis,26.7,MIL,Big,2019,60,75.2%,6,5.1%,34,1.2%,39,21.7%
Kristaps Porzingis,26.3,WAS,Big,478,100,87.7%,74,16.1%,98,4.2%,21,16.7%
Kristaps Porzingis,26.3,DAL,Big,1001,95,86.5%,40,11.8%,89,3.2%,16,15.2%
Dwight Powell,30.3,DAL,Big,1793,77,78.7%,96,22.8%,86,3.0%,95,41.9%
Norman Powell,28.4,POR,Wing,1331,48,80.3%,94,15.0%,92,2.1%,35,19.6%
Norman Powell,28.4,LAC,Wing,120,89,87.5%,99,17.8%,100,3.6%,18,15.4%
Joshua Primo,18.9,SAS,Forward,910,29,71.7%,41,7.9%,78,1.5%,21,19.0%
Taurean Prince,27.6,MIN,Forward,1172,42,75.6%,66,10.2%,26,0.7%,73,31.0%
Payton Pritchard,23.8,BOS,Point,881,0,100.0%,6,1.3%,10,0.7%,56,25.0%
Immanuel Quickley,22.4,NYK,Combo,1757,90,88.4%,85,10.7%,68,1.6%,54,24.4%
Julius Randle,26.9,NYK,Big,2537,62,75.4%,42,12.0%,83,2.8%,57,25.6%
Austin Reaves,23.4,LAL,Wing,1360,66,84.1%,95,15.2%,78,1.4%,68,26.0%
Cameron Reddish,22.2,NYK,Forward,198,0,92.0%,96,18.3%,13,0.4%,12,15.4%
Cameron Reddish,22.2,ATL,Forward,780,95,90.0%,68,10.4%,55,1.0%,19,18.4%
Davon Reed,26.4,DEN,Forward,608,0,54.5%,14,4.1%,5,0.3%,89,50.0%
Paul Reed,22.4,PHI,Big,237,0,41.7%,26,9.7%,4,0.5%,66,28.6%
Naz Reid,22.2,MIN,Big,1144,68,77.3%,59,14.2%,55,1.6%,56,25.4%
Nick Richards,23.9,CHA,Big,278,76,78.6%,89,19.7%,15,0.9%,84,33.3%
Josh Richardson,28.1,BOS,Combo,1065,81,85.9%,52,7.0%,45,1.3%,15,12.0%
Josh Richardson,28.1,SAS,Combo,512,100,94.6%,22,4.0%,32,1.1%,0,0.0%
Austin Rivers,29.3,DEN,Wing,1427,22,72.7%,25,4.9%,30,0.7%,55,23.5%
Duncan Robinson,27.5,MIA,Wing,2015,62,83.6%,10,2.3%,61,1.0%,55,23.5%
Justin Robinson,24.1,MIL,Point,156,0,,0,0.0%,0,0.3%,98,
Mitchell Robinson,23.6,NYK,Big,1847,3,48.6%,94,22.1%,29,1.2%,55,25.3%
Jeremiah Robinson-Earl,21.0,OKC,Big,1068,56,74.1%,14,7.4%,5,0.7%,8,8.0%
Isaiah Roby,23.7,OKC,Big,908,27,66.7%,66,15.1%,54,1.6%,13,13.2%
Rajon Rondo,35.7,LAL,Point,270,0,50.0%,0,0.0%,18,0.8%,98,
Rajon Rondo,35.7,CLE,Combo,407,0,75.0%,10,2.8%,77,1.9%,75,33.3%
Derrick Rose,33.1,NYK,Point,629,100,96.8%,24,5.3%,4,0.6%,24,20.0%
Terrence Ross,30.7,ORL,Wing,1447,80,85.8%,63,9.3%,58,1.0%,81,33.3%
Terry Rozier,27.6,CHA,Combo,2437,76,85.7%,33,5.9%,55,1.3%,85,40.8%
Ricky Rubio,31.0,CLE,Combo,964,72,85.4%,50,7.0%,94,2.4%,22,16.7%
D'Angelo Russell,25.7,MIN,Point,2076,50,82.5%,42,6.9%,88,2.7%,22,19.7%
Domantas Sabonis,25.5,IND,Big,1624,53,73.8%,84,17.5%,93,3.5%,55,25.2%
Domantas Sabonis,25.5,SAC,Big,504,56,74.3%,75,16.3%,86,3.0%,82,32.4%
Olivier Sarr,22.7,OKC,Big,400,95,85.2%,28,10.0%,62,1.9%,29,20.0%
Tomas Satoransky,30.0,NOP,Combo,457,0,73.9%,94,13.2%,15,0.8%,63,28.6%
Tomas Satoransky,30.0,WAS,Combo,412,0,84.0%,90,11.1%,70,1.7%,13,10.0%
Admiral Schofield,24.6,ORL,Forward,414,0,83.3%,29,6.0%,20,0.5%,67,28.6%
Dennis Schroder,28.1,HOU,Combo,404,87,87.2%,84,10.5%,14,0.7%,31,18.8%
Dennis Schroder,28.1,BOS,Point,1421,58,84.5%,72,9.5%,78,2.3%,72,27.1%
Alperen Sengun,19.3,HOU,Big,1442,42,71.2%,74,16.1%,92,3.4%,55,25.3%
Collin Sexton,22.8,CLE,Wing,314,24,74.4%,86,12.3%,98,2.8%,61,25.0%
Landry Shamet,24.6,PHX,Wing,1357,56,82.9%,43,6.3%,34,0.8%,38,20.0%
Day'Ron Sharpe,20.0,BKN,Big,304,23,65.4%,35,11.3%,16,1.0%,43,23.1%
Pascal Siakam,27.6,TOR,Forward,2574,40,74.9%,90,13.5%,97,2.6%,57,27.2%
Anfernee Simons,22.4,POR,Combo,1661,91,88.7%,28,4.8%,57,1.3%,42,20.5%
Zavier Simpson,24.7,OKC,Point,174,0,100.0%,28,5.6%,38,1.3%,82,33.3%
Jericho Sims,23.0,NYK,Big,510,1,40.7%,92,21.1%,41,1.3%,8,8.3%
Javonte Smart,22.4,MIL,Combo,142,0,83.3%,54,7.3%,24,0.9%,0,0.0%
Marcus Smart,27.7,BOS,Combo,2293,41,80.2%,67,9.0%,93,2.3%,60,27.5%
Ish Smith,33.3,CHA,Combo,448,0,58.8%,23,4.0%,26,1.0%,87,42.9%
Ish Smith,33.3,WAS,Point,597,0,60.0%,4,0.9%,32,1.1%,96,50.0%
Jalen Smith,21.6,PHX,Big,313,68,77.3%,72,16.0%,82,2.8%,29,20.0%
Jalen Smith,21.6,IND,Big,533,67,77.1%,18,8.7%,79,2.5%,15,15.0%
Dennis Smith Jr.,23.9,POR,Combo,556,9,66.7%,97,14.8%,46,1.3%,84,37.0%
Tony Snell,30.0,POR,Forward,521,0,100.0%,3,2.1%,3,0.2%,89,50.0%
Tony Snell,30.0,NOP,Wing,247,0,,0,0.0%,13,0.5%,99,
Cassius Stanley,22.2,DET,Wing,139,0,100.0%,82,11.4%,85,1.5%,88,40.0%
Lance Stephenson,31.2,IND,Combo,717,38,79.7%,76,9.9%,48,1.3%,27,18.2%
Lamar Stevens,24.3,CLE,Wing,956,13,70.4%,81,11.2%,26,0.7%,86,36.1%
Isaiah Stewart,20.4,DET,Big,1806,47,72.3%,24,9.5%,48,1.5%,74,30.0%
Max Strus,25.6,MIA,Wing,1524,38,78.8%,17,3.8%,35,0.8%,74,28.6%
Jalen Suggs,20.4,ORL,Combo,1276,24,76.7%,93,11.9%,91,2.2%,18,14.3%
Keifer Sykes,27.8,IND,Point,524,0,87.5%,10,2.2%,8,0.6%,56,25.0%
Jae'Sean Tate,26.0,HOU,Forward,2047,27,70.7%,71,10.7%,74,1.5%,70,29.8%
Jayson Tatum,23.7,BOS,Forward,2726,77,85.1%,78,11.0%,94,2.3%,38,21.8%
Terry Taylor,22.1,IND,Forward,669,34,73.3%,73,10.8%,18,0.5%,26,20.0%
Garrett Temple,35.5,NOP,Wing,1072,6,68.3%,38,5.7%,65,1.1%,55,23.5%
Daniel Theis,29.6,BOS,Big,375,30,68.8%,69,15.3%,46,1.4%,84,33.3%
Daniel Theis,29.6,HOU,Big,576,50,73.0%,16,7.9%,59,1.8%,29,20.0%
Cameron Thomas,20.1,BKN,Wing,1069,61,83.5%,58,8.4%,67,1.2%,50,22.5%
Isaiah Thomas,32.7,CHA,Combo,189,0,90.0%,18,3.8%,87,2.1%,55,25.0%
Matt Thomas,27.2,CHI,Wing,383,0,85.7%,18,3.9%,48,0.9%,61,25.0%
Klay Thompson,31.7,GSW,Wing,934,100,91.8%,13,3.4%,40,0.8%,17,15.0%
Tristan Thompson,30.6,CHI,Big,371,8,54.2%,88,19.0%,95,3.8%,29,20.0%
Tristan Thompson,30.6,SAC,Big,452,7,53.3%,54,13.6%,81,2.7%,24,17.4%
JT Thor,19.2,CHA,Forward,190,0,45.5%,95,17.9%,50,0.9%,97,57.1%
Matisse Thybulle,24.7,PHI,Wing,1669,51,80.5%,35,5.5%,1,0.2%,24,17.6%
Killian Tillie,23.7,MEM,Forward,355,0,50.0%,2,1.1%,16,0.5%,0,0.0%
Xavier Tillman,22.8,MEM,Big,564,21,63.8%,68,15.1%,36,1.3%,66,28.6%
Obi Toppin,23.7,NYK,Big,1190,64,75.7%,37,11.4%,40,1.3%,37,21.1%
Juan Toscano-Anderson,28.6,GSW,Forward,866,2,54.8%,69,10.5%,71,1.4%,59,27.3%
Karl-Anthony Towns,26.0,MIN,Big,2482,87,82.2%,73,16.1%,91,3.4%,80,31.2%
Gary Trent Jr.,22.8,TOR,Combo,2441,65,84.8%,32,5.7%,42,1.2%,29,18.5%
PJ Tucker,36.5,MIA,Big,1978,53,73.8%,2,3.4%,39,1.3%,29,20.0%
Myles Turner,25.6,IND,Big,1232,62,75.2%,43,12.1%,38,1.3%,69,28.8%
Jonas Valanciunas,29.5,NOP,Big,2236,86,82.0%,49,12.9%,88,3.1%,45,23.1%
Denzel Valentine,28.0,CLE,Wing,164,0,,0,0.0%,14,0.5%,99,
Fred VanVleet,27.7,TOR,Point,2457,83,87.4%,38,6.8%,54,1.7%,38,21.8%
Jarred Vanderbilt,22.6,MIN,Big,1869,24,65.6%,57,14.0%,43,1.4%,51,25.0%
Devin Vassell,21.2,SAS,Wing,1896,63,83.7%,36,5.5%,51,1.0%,45,20.9%
Gabe Vincent,25.4,MIA,Combo,1499,47,81.5%,21,4.0%,34,1.1%,20,15.0%
Nikola Vucevic,31.0,CHI,Big,2415,66,76.0%,3,4.3%,44,1.4%,71,29.4%
Dean Wade,24.9,CLE,Forward,950,13,66.7%,27,5.7%,32,0.7%,87,41.7%
Franz Wagner,20.2,ORL,Forward,2416,84,86.3%,60,9.7%,67,1.3%,23,19.6%
Moritz Wagner,24.5,ORL,Big,874,82,79.8%,53,13.4%,69,2.1%,64,27.8%
Ishmail Wainright,27.1,PHX,Big,245,0,50.0%,0,0.0%,51,1.5%,100,
Kemba Walker,31.5,NYK,Point,947,58,84.5%,52,7.6%,56,1.8%,24,20.0%
Lonnie Walker,22.9,SAS,Wing,1596,35,78.4%,59,8.6%,16,0.6%,17,14.5%
Derrick Walton Jr.,26.6,DET,Point,108,0,100.0%,48,7.1%,14,0.7%,0,0.0%
Brad Wanamaker,32.3,IND,Combo,249,0,88.2%,83,10.4%,100,2.7%,87,42.9%
Duane Washington,21.6,IND,Combo,920,18,74.1%,38,6.1%,35,1.1%,53,24.0%
PJ Washington,23.2,CHA,Big,1716,44,71.6%,12,7.2%,7,0.7%,26,17.9%
Yuta Watanabe,27.1,TOR,Wing,390,4,60.7%,79,10.7%,79,1.4%,18,15.4%
Lindy Waters,24.3,OKC,Wing,454,0,80.0%,4,1.2%,17,0.6%,0,0.0%
Trendon Watford,21.0,POR,Big,780,55,74.0%,56,13.9%,31,1.2%,21,16.7%
Paul Watson,26.8,OKC,Forward,140,0,,0,0.0%,0,0.0%,99,
Russell Westbrook,33.0,LAL,Point,2667,6,66.5%,84,13.0%,62,1.8%,32,20.9%
Coby White,21.7,CHI,Combo,1636,71,85.4%,37,6.1%,19,0.8%,20,15.0%
Derrick White,27.3,BOS,Combo,709,68,84.9%,98,14.8%,82,2.0%,65,28.9%
Derrick White,27.3,SAS,Combo,1485,84,86.9%,92,11.3%,90,2.2%,50,22.9%
Hassan Whiteside,32.4,UTA,Big,1125,17,62.0%,86,18.3%,85,3.0%,39,22.1%
Joe Wieskamp,22.2,SAS,Wing,141,0,62.5%,93,13.9%,0,0.0%,0,0.0%
Aaron Wiggins,22.8,OKC,Wing,1193,19,72.3%,77,10.6%,44,0.9%,80,31.6%
Andrew Wiggins,26.7,GSW,Forward,2318,8,63.1%,77,11.0%,79,1.5%,51,25.6%
Lindell Wigginton,23.6,MIL,Combo,156,3,57.7%,100,20.7%,89,2.2%,22,16.7%
Brandon Williams,21.9,POR,Point,603,11,68.8%,78,11.5%,50,1.6%,16,17.6%
Grant Williams,22.9,BOS,Forward,1842,94,89.9%,48,8.8%,52,0.9%,83,35.9%
Kenrich Williams,26.9,OKC,Forward,1069,0,54.5%,43,8.0%,60,1.1%,7,11.1%
Lou Williams,35.0,ATL,Combo,790,76,85.7%,64,8.8%,81,2.0%,17,13.3%
Patrick Williams,20.2,CHI,Big,408,78,78.8%,45,12.3%,18,1.0%,18,15.4%
Robert Williams,24.0,BOS,Big,1803,46,72.2%,36,11.3%,6,0.7%,79,31.1%
Ziaire Williams,20.1,MEM,Wing,1299,53,81.3%,32,5.3%,5,0.4%,50,22.7%
Dylan Windler,25.1,CLE,Wing,395,0,82.4%,56,8.2%,59,1.0%,11,14.3%
Justise Winslow,25.6,POR,Forward,293,0,56.0%,62,9.8%,22,0.6%,79,33.3%
Justise Winslow,25.6,LAC,Big,425,17,61.5%,46,12.4%,32,1.2%,5,5.9%
Christian Wood,26.1,HOU,Big,2092,18,62.3%,52,13.3%,94,3.6%,36,20.8%
Delon Wright,29.5,ATL,Combo,1393,74,85.5%,58,8.0%,30,1.1%,12,9.1%
Thaddeus Young,33.4,SAS,Big,355,0,45.5%,8,5.6%,55,1.6%,98,57.1%
Thaddeus Young,33.4,TOR,Forward,466,0,54.2%,63,9.9%,4,0.3%,79,33.3%
Trae Young,23.1,ATL,Point,2647,94,90.4%,66,9.1%,100,4.5%,36,21.2%
Omer Yurtseven,23.4,MIA,Big,624,14,61.1%,41,11.9%,21,1.1%,66,28.6%
Cody Zeller,29.1,POR,Big,335,79,79.1%,66,15.0%,76,2.4%,6,6.7%
Ivica Zubac,24.6,LAC,Big,1843,47,72.4%,81,17.0%,78,2.4%,18,15.3%